"date","Train","Passengers"
2014-05-22,5,32
2014-05-27,5,20
2014-06-01,5,35
2014-06-06,5,33
2014-06-11,5,27
2014-06-16,5,24
2014-06-21,5,27
2014-06-26,5,25
2014-07-01,5,24
2014-07-06,5,29
2014-07-11,5,21
2014-07-16,5,17
2014-07-21,5,16
2014-07-26,5,25
2014-07-31,5,26
2014-08-05,5,21
2014-08-10,5,26
2014-08-15,5,21
2014-08-20,5,18
2014-08-25,5,20
2014-08-30,5,29
2014-09-04,5,18
2014-09-09,5,23
2014-09-14,5,19
2014-09-19,5,25
2014-09-24,5,11
2014-09-29,5,15
2014-10-04,5,20
2014-10-09,5,29
2014-10-14,5,11
2014-10-19,5,23
2014-10-24,5,16
2014-10-29,5,11
2014-11-03,5,27
2014-11-08,5,23
2014-11-13,5,20
2014-11-18,5,26
2014-11-23,5,37
2014-11-28,5,12
2014-12-03,5,8
2014-12-08,5,12
2014-12-13,5,20
2014-12-18,5,11
2014-12-23,5,21
2014-12-28,5,27
2015-01-02,5,13
2015-01-07,5,7
2015-01-12,5,7
2015-01-17,5,17
2015-01-22,5,14
2015-01-27,5,13
2015-02-01,5,15
2015-02-06,5,20
2015-02-11,5,11
2015-02-16,5,13
2015-02-21,5,16
2015-02-26,5,23
2015-03-03,5,23
2015-03-08,5,26
2015-03-13,5,22
2015-03-18,5,17
2015-03-23,5,23
2015-03-28,5,15
2015-04-02,5,20
2015-04-07,5,17
2015-04-12,5,26
2015-04-17,5,24
2015-04-22,5,17
2015-04-27,5,15
2015-05-02,5,27
2015-05-07,5,30
2015-05-12,5,25
2015-05-17,5,22
2015-05-22,5,20
2015-05-27,5,20
2015-06-01,5,21
2015-06-06,5,28
2015-06-11,5,28
2015-06-16,5,18
2015-06-21,5,22
2015-06-26,5,27
2015-07-01,5,16
2015-07-06,5,28
2015-07-11,5,31
2015-07-16,5,25
2015-07-21,5,15
2015-07-26,5,35
2015-07-31,5,25
2015-08-05,5,17
2015-08-10,5,16
2015-08-15,5,31
2015-08-20,5,22
2015-08-25,5,22
2015-08-30,5,30
2015-09-04,5,23
2015-09-09,5,19
2015-09-14,5,14
2015-09-19,5,22
2015-09-24,5,17
2015-09-29,5,27
2015-10-04,5,25
2015-10-09,5,27
2015-10-14,5,14
2015-10-19,5,12
2015-10-24,5,21
2015-10-29,5,28
2015-11-03,5,23
2015-11-08,5,26
2015-11-13,5,18
2015-11-18,5,17
2015-11-23,5,16
2015-11-28,5,23
2015-12-03,5,11
2015-12-08,5,14
2015-12-13,5,18
2015-12-18,5,16
2015-12-23,5,18
2015-12-28,5,11
2016-01-02,5,18
2016-01-07,5,18
2016-01-12,5,13
2016-01-17,5,9
2016-01-22,5,18
2016-01-27,5,16
2016-02-01,5,16
2016-02-06,5,21
2016-02-11,5,15
2016-02-16,5,15
2016-02-21,5,12
2016-02-26,5,15
2016-03-02,5,21
2016-03-07,5,15
2016-03-12,5,26
2016-03-17,5,17
2016-03-22,5,24
2016-03-27,5,26
2016-04-01,5,26
2016-04-06,5,18
2016-04-11,5,16
2016-04-16,5,25
2016-04-21,5,24
2016-04-26,5,22
2016-05-01,5,28
2016-05-06,5,23
2016-05-11,5,27
2016-05-16,5,18
2016-05-21,5,31
2016-05-26,5,26
2016-05-31,5,20
2016-06-05,5,28
2016-06-10,5,15
2016-06-15,5,26
2016-06-20,5,13
2016-06-25,5,33
2016-06-30,5,24
2016-07-05,5,22
2016-07-10,5,40
2016-07-15,5,30
2016-07-20,5,27
2016-07-25,5,26
2016-07-30,5,32
2016-08-04,5,22
2016-08-09,5,24
2016-08-14,5,22
2016-08-19,5,23
2016-08-24,5,29
2016-08-29,5,22
2016-09-03,5,38
2016-09-08,5,22
2016-09-13,5,21
2016-09-18,5,30
2016-09-23,5,28
2016-09-28,5,19
2016-10-03,5,21
2016-10-08,5,23
2016-10-13,5,27
2016-10-18,5,12
2016-10-23,5,17
2016-10-28,5,22
2016-11-02,5,26
2016-11-07,5,15
2016-11-12,5,27
2016-11-17,5,19
2016-11-22,5,22
2016-11-27,5,26
2016-12-02,5,10
2016-12-07,5,9
2016-12-12,5,15
2016-12-17,5,19
2016-12-22,5,23
2016-12-27,5,18
