image_name,x_min,x_max,y_min,y_max
image_3205,217,380,135,229
image_3206,62,466,97,238
image_3207,16,495,114,277
image_3208,1,347,0,374
image_3209,239,499,59,373
image_3210,0,373,25,498
image_3211,240,499,182,354
image_3212,70,311,27,445
image_3213,2,470,41,374
image_3214,90,351,11,337
image_3215,1,214,17,235
image_3216,38,227,58,428
image_3217,23,426,49,375
image_3218,0,435,4,354
image_3219,142,499,3,220
image_3220,0,448,40,374
image_3221,25,282,0,386
image_3222,11,372,121,456
image_3223,191,355,67,330
image_3224,0,378,33,332
image_3225,17,413,81,368
image_3226,84,369,121,268
image_3227,125,371,125,451
image_3228,120,478,16,374
image_3229,31,431,15,492
image_3230,58,466,52,286
image_3231,164,318,77,374
image_3232,38,277,70,498
image_3233,47,268,40,262
image_3234,0,174,4,174
image_3235,81,303,31,374
image_3236,77,269,300,437
image_3237,1,369,41,486
image_3238,4,423,5,252
image_3239,0,490,1,332
image_3240,57,246,86,497
image_3241,0,410,52,332
image_3242,115,371,23,374
image_3243,18,598,39,600
image_3244,0,265,55,498
image_3245,23,499,2,326
image_3246,45,220,186,447
image_3247,113,372,7,289
image_3248,207,476,159,332
image_3249,0,428,0,289
image_3250,0,350,93,498
image_3251,115,499,11,175
image_3252,58,221,83,250
image_3253,12,498,32,285
image_3254,136,499,38,374
image_3255,98,216,140,288
image_3256,129,325,124,265
image_3257,212,336,42,253
image_3258,139,339,94,240
image_3259,23,173,12,277
image_3260,0,439,1,360
image_3261,148,499,0,374
image_3262,102,330,11,374
image_3263,5,453,24,373
image_3264,50,249,1,285
image_3265,48,454,26,402
image_3266,168,499,62,365
image_3267,203,363,58,333
image_3268,12,292,13,253
image_3269,140,296,2,331
image_3270,96,437,73,408
image_3271,186,350,104,250
image_3272,83,429,23,302
image_3273,0,271,161,498
image_3274,42,449,26,310
image_3275,151,298,104,364
image_3276,51,262,307,498
image_3277,63,498,39,408
image_3278,6,499,0,380
image_3279,144,391,106,334
image_3280,58,448,274,486
image_3281,38,220,17,242
image_3282,20,349,57,498
image_3283,48,247,120,477
image_3284,2,445,34,333
image_3285,190,481,68,334
image_3286,50,345,45,320
image_3287,0,334,106,497
image_3288,18,283,13,243
image_3289,32,206,11,166
image_3290,90,352,61,285
image_3291,15,354,37,196
image_3292,0,220,40,170
image_3293,227,431,111,287
image_3294,119,397,66,334
image_3295,68,498,77,476
image_3296,115,260,45,262
image_3297,156,354,88,257
image_3298,45,272,51,475
image_3299,137,341,115,296
image_3300,36,282,49,315
image_3301,130,399,94,285
image_3302,19,267,16,234
image_3303,66,219,97,217
image_3304,124,319,113,278
image_3305,39,453,7,337
image_3306,119,436,121,301
image_3307,111,447,14,306
image_3308,24,360,114,357
image_3309,18,302,70,478
image_3310,131,388,94,298
image_3311,127,309,26,322
image_3312,37,294,95,410
image_3313,71,431,67,498
image_3314,127,406,37,325
image_3315,18,498,55,483
image_3316,49,465,37,279
image_3317,29,301,30,252
image_3318,33,286,33,278
image_3319,131,424,129,384
image_3320,0,199,211,288
image_3321,279,416,192,321
image_3322,37,421,78,223
image_3323,142,492,0,319
image_3324,123,499,38,399
image_3325,1,373,12,498
image_3326,59,422,133,292
image_3327,46,447,11,371
image_3328,166,470,27,289
image_3329,185,336,8,346
image_3330,146,330,208,351
image_3331,85,437,25,413
image_3332,2,262,54,441
image_3333,71,390,39,317
image_3334,279,454,63,372
image_3335,205,324,137,422
image_3336,19,458,49,287
image_3337,120,328,173,336
image_3338,1,283,166,374
image_3339,73,435,43,398
image_3340,29,445,42,266
image_3341,77,275,51,290
image_3342,15,473,68,331
image_3343,0,499,25,375
image_3344,47,402,17,335
image_3345,116,369,26,331
image_3346,0,195,40,239
image_3347,49,384,68,340
image_3348,61,187,53,302
image_3349,15,349,5,473
image_3350,0,343,14,278
image_3351,78,386,52,283
image_3352,45,474,45,268
image_3353,58,467,36,418
image_3354,147,331,57,346
image_3355,46,392,1,498
image_3356,134,355,103,472
image_3357,274,361,148,344
image_3358,61,270,76,443
image_3359,336,460,69,299
image_3360,135,333,94,319
image_3361,120,393,61,389
image_3362,158,357,32,326
image_3363,9,223,29,366
image_3364,231,352,83,257
image_3365,3,419,80,373
image_3366,28,473,14,281
image_3367,0,218,90,372
image_3368,94,433,65,345
image_3369,110,416,48,294
image_3370,315,469,112,282
image_3371,29,438,58,371
image_3372,0,304,84,412
image_3373,142,215,246,401
image_3374,10,447,84,334
image_3375,42,439,44,362
image_3376,70,289,3,498
image_3377,73,353,59,233
image_3378,0,192,142,393
image_3379,0,394,115,493
image_3380,98,339,77,498
image_3381,331,470,110,274
image_3382,39,477,74,311
image_3383,111,355,268,495
image_3384,155,366,140,340
image_3385,88,499,93,332
image_3386,94,440,69,355
image_3387,131,499,107,374
image_3388,0,499,33,374
image_3389,96,595,26,388
image_3390,244,499,28,242
image_3391,160,409,109,361
image_3392,190,481,65,238
image_3393,63,475,57,295
image_3394,67,337,27,401
image_3395,125,331,50,462
image_3396,35,383,17,353
image_3397,42,462,118,229
image_3398,87,350,59,324
image_3399,155,373,230,362
image_3400,72,441,109,277
image_3401,17,302,9,278
image_3402,30,499,88,263
image_3403,226,1036,198,950
image_3404,202,401,48,357
image_3405,0,373,20,380
image_3406,40,420,31,397
image_3407,2,372,22,376
image_3408,56,245,64,273
image_3409,8,339,43,331
image_3410,85,455,62,339
image_3411,69,457,125,227
image_3412,117,256,28,445
image_3413,90,327,106,336
image_3414,93,358,43,321
image_3415,214,378,102,276
image_3416,51,464,100,274
image_3417,195,386,124,332
image_3418,150,389,8,374
image_3419,2,331,40,322
image_3420,171,372,16,261
image_3421,46,351,65,498
image_3422,256,832,169,669
image_3423,1,492,97,273
image_3424,166,369,79,374
image_3425,2,325,43,374
image_3426,92,392,28,374
image_3427,55,499,53,332
image_3428,200,316,113,285
image_3429,1,275,117,348
image_3430,156,284,124,373
image_3431,185,388,130,298
image_3432,96,487,48,250
image_3433,101,358,184,374
image_3434,151,275,106,265
image_3435,17,373,68,388
image_3436,62,331,13,497
image_3437,53,499,115,374
image_3438,179,499,50,332
image_3439,142,219,299,477
image_3440,34,183,16,194
image_3441,20,331,88,498
image_3442,55,316,68,468
image_3443,10,207,5,216
image_3444,5,331,247,497
image_3445,86,270,40,498
image_3446,8,283,7,239
image_3447,41,276,223,388
image_3448,293,354,104,245
image_3449,55,342,21,496
image_3450,18,316,82,373
image_3451,200,319,176,252
image_3452,155,310,122,260
image_3453,2,315,87,332
image_3454,36,323,12,259
image_3455,109,664,230,478
image_3456,54,214,25,199
image_3457,137,281,166,445
image_3458,148,413,48,281
image_3459,68,422,48,374
image_3460,0,331,35,498
image_3461,175,315,193,457
image_3462,111,566,145,530
image_3463,204,485,23,306
image_3464,0,325,227,498
image_3465,41,327,9,287
image_3466,0,467,74,335
image_3467,274,471,105,332
image_3468,101,403,114,373
image_3469,51,330,47,453
image_3470,4,307,154,332
image_3471,55,291,75,296
image_3472,95,464,44,280
image_3473,0,499,66,346
image_3474,88,235,112,456
image_3475,46,457,131,399
image_3476,107,339,47,331
image_3477,355,499,95,298
image_3478,30,477,153,395
image_3479,35,647,21,521
image_3480,0,308,101,334
image_3481,33,320,12,463
image_3482,264,420,82,310
image_3483,5,325,37,473
image_3484,137,344,190,359
image_3485,81,473,65,250
image_3486,88,499,25,363
image_3487,169,266,39,280
image_3488,52,267,211,332
image_3489,217,327,180,403
image_3490,164,287,88,388
image_3491,249,376,73,183
image_3492,0,479,23,399
image_3493,72,271,53,342
image_3494,107,473,111,272
image_3495,33,323,157,490
image_3496,9,258,124,261
image_3497,11,212,18,159
image_3498,137,373,55,442
image_3499,15,264,48,269
image_3500,92,368,84,374
image_3501,1,338,55,330
image_3502,44,492,52,319
image_3503,54,473,19,415
image_3504,154,425,53,332
image_3505,118,300,38,332
image_3506,68,285,90,436
image_3507,55,186,201,457
image_3508,71,343,101,443
image_3509,0,297,36,498
image_3510,54,463,78,311
image_3511,6,206,0,205
image_3512,39,499,16,332
image_3513,0,410,28,393
image_3514,10,499,42,366
image_3515,103,377,18,373
image_3516,204,295,81,274
image_3517,67,242,75,283
image_3518,106,191,142,324
image_3519,116,311,127,374
image_3520,43,297,78,321
image_3521,0,499,1,374
image_3522,138,191,299,458
image_3523,8,454,25,316
image_3524,16,292,12,367
image_3525,176,263,46,176
image_3526,84,363,74,234
image_3527,302,458,23,288
image_3528,125,381,152,351
image_3529,129,495,1,374
image_3530,95,382,102,352
image_3531,0,373,108,497
image_3532,260,494,107,295
image_3533,0,393,13,498
image_3534,54,455,39,374
image_3535,36,390,98,374
image_3536,0,222,232,483
image_3537,199,305,224,428
image_3538,117,331,72,498
image_3539,158,387,113,295
image_3540,151,249,171,470
image_3541,2,360,78,364
image_3542,170,499,59,374
image_3543,12,486,20,394
image_3544,245,378,211,438
image_3545,4,376,0,374
image_3546,211,329,157,298
image_3547,101,315,10,482
image_3548,57,378,58,237
image_3549,115,329,175,374
image_3550,34,214,30,191
image_3551,234,449,81,258
image_3552,64,275,115,213
image_3553,117,499,80,331
image_3554,116,358,22,374
image_3555,0,334,87,330
image_3556,185,318,197,347
image_3557,8,188,18,361
image_3558,56,328,236,571
image_3559,56,402,127,292
image_3560,178,255,99,257
image_3561,28,499,55,332
image_3562,1,362,18,374
image_3563,111,353,69,332
image_3564,0,313,18,332
image_3565,205,450,33,465
image_3566,0,468,57,385
image_3567,116,370,33,325
image_3568,133,301,115,266
image_3569,204,307,80,224
image_3570,70,382,64,330
image_3571,95,267,93,374
image_3572,116,499,94,368
image_3573,34,462,71,255
image_3574,46,155,91,426
image_3575,246,468,83,257
image_3576,135,262,170,431
image_3577,145,473,125,445
image_3578,229,447,69,374
image_3579,0,474,18,407
image_3580,153,457,107,332
image_3581,49,192,106,332
image_3582,178,495,64,356
image_3583,160,379,46,332
image_3584,84,494,143,265
image_3585,162,410,171,284
image_3586,115,457,121,431
image_3587,33,161,35,323
image_3588,0,360,0,433
image_3589,1,247,127,340
image_3590,25,195,13,249
image_3591,13,498,84,331
image_3592,5,292,73,418
image_3593,97,330,84,326
image_3594,42,434,28,356
image_3595,55,454,71,372
image_3596,71,352,68,229
image_3597,22,335,1,418
image_3598,66,318,104,262
image_3599,121,339,33,332
image_3600,95,498,94,369
image_3601,17,231,182,488
image_3602,258,427,77,275
image_3603,58,258,152,498
image_3604,0,295,72,279
image_3605,74,367,9,374
image_3606,97,445,77,276
image_3607,1,451,22,332
image_3608,167,449,100,373
image_3609,75,498,31,373
image_3610,112,280,49,304
image_3611,0,410,143,356
image_3612,186,286,208,373
image_3613,239,444,82,372
image_3614,253,400,52,498
image_3615,85,256,67,332
image_3616,142,261,65,241
image_3617,3,330,216,478
image_3618,244,304,138,254
image_3619,106,300,122,458
image_3620,36,365,141,332
image_3621,54,198,103,423
image_3622,9,324,48,333
image_3623,0,344,16,329
image_3624,224,450,45,363
image_3625,76,239,205,448
image_3626,11,381,106,390
image_3627,296,454,112,185
image_3628,30,232,175,379
image_3629,176,338,208,353
image_3630,50,244,67,498
image_3631,11,288,11,200
image_3632,224,322,27,246
image_3633,92,446,29,332
image_3634,85,228,95,241
image_3635,139,236,200,305
image_3636,103,367,200,430
image_3637,131,205,292,470
image_3638,87,448,17,374
image_3639,168,355,52,374
image_3640,62,285,70,462
image_3641,142,482,7,372
image_3642,58,316,52,328
image_3643,73,323,22,498
image_3644,116,409,28,336
image_3645,111,323,191,481
image_3646,67,460,26,366
image_3647,128,276,69,331
image_3648,41,296,52,489
image_3649,243,406,59,392
image_3650,69,429,69,364
image_3651,299,380,95,251
image_3652,11,232,14,333
image_3653,72,490,75,367
image_3654,38,239,14,289
image_3655,166,395,88,373
image_3656,384,499,112,287
image_3657,181,430,45,408
image_3658,40,352,4,432
image_3659,204,423,159,345
image_3660,22,274,47,299
image_3661,20,305,43,495
image_3662,76,341,72,344
image_3663,272,398,66,280
image_3664,14,396,55,320
image_3665,42,259,1,419
image_3666,18,331,17,451
image_3667,13,454,20,345
image_3668,11,312,26,478
image_3669,81,278,111,486
image_3670,147,392,43,374
image_3671,198,469,58,365
image_3672,4,395,19,332
image_3673,0,358,85,498
image_3674,74,377,105,304
image_3675,213,450,83,341
image_3676,0,495,55,409
image_3677,0,493,0,484
image_3678,116,332,47,466
image_3679,0,267,29,177
image_3680,125,474,128,374
image_3681,128,379,51,331
image_3682,193,292,61,261
image_3683,65,343,100,371
image_3684,65,490,39,333
image_3685,0,432,75,332
image_3686,58,380,7,373
image_3687,95,294,115,334
image_3688,94,363,67,286
image_3689,12,202,123,266
image_3690,40,279,50,498
image_3691,39,386,70,679
image_3692,360,496,197,338
image_3693,1,147,19,257
image_3694,196,329,65,332
image_3695,157,356,162,381
image_3696,100,253,73,388
image_3697,37,402,37,332
image_3698,140,345,154,350
image_3699,27,480,72,314
image_3700,152,499,64,331
image_3701,15,182,52,332
image_3702,53,239,23,168
image_3703,287,488,147,292
image_3704,17,463,77,295
image_3705,252,397,44,335
image_3706,89,442,70,339
image_3707,0,395,46,314
image_3708,122,318,198,498
image_3709,153,499,0,319
image_3710,313,499,88,321
image_3711,98,307,107,335
image_3712,4,252,209,374
image_3713,0,210,128,374
image_3714,340,459,95,307
image_3715,370,486,175,321
image_3716,133,499,51,374
image_3717,78,340,42,388
image_3718,196,373,163,498
image_3719,112,428,28,458
image_3720,119,352,9,374
image_3721,244,301,80,257
image_3722,105,326,18,299
image_3723,136,258,57,236
image_3724,114,415,42,265
image_3725,20,331,21,498
image_3726,148,277,65,445
image_3727,71,281,140,371
image_3728,226,499,44,332
image_3729,36,290,38,468
image_3730,161,349,57,297
image_3731,34,300,33,312
image_3732,16,203,0,336
image_3733,31,309,58,467
image_3734,28,472,74,317
image_3735,140,291,241,473
image_3736,157,480,106,315
image_3737,139,496,40,241
image_3738,0,247,91,259
image_3739,42,250,21,294
image_3740,0,302,141,498
image_3741,373,873,393,843
image_3742,16,255,70,498
image_3743,70,338,143,398
image_3744,138,327,23,266
image_3745,27,316,40,391
image_3746,43,470,47,373
image_3747,101,355,210,374
image_3748,132,404,42,374
image_3749,2,433,31,374
image_3750,151,400,129,292
image_3751,26,286,66,497
image_3752,80,302,90,497
image_3753,48,146,226,445
image_3754,59,284,106,329
image_3755,21,478,12,428
image_3756,0,337,82,332
image_3757,252,468,8,441
image_3758,159,397,4,327
image_3759,102,499,75,358
image_3760,76,430,45,333
image_3761,60,231,111,360
image_3762,0,498,31,364
image_3763,204,309,195,324
image_3764,47,288,97,315
image_3765,43,314,35,483
image_3766,386,498,33,137
image_3767,38,216,15,291
image_3768,213,496,15,244
image_3769,142,269,161,325
image_3770,0,298,235,498
image_3771,178,378,1,428
image_3772,108,373,137,498
image_3773,0,299,36,316
image_3774,15,405,6,490
image_3775,341,461,72,238
image_3776,47,229,103,422
image_3777,191,302,71,289
image_3778,224,459,77,303
image_3779,21,297,18,323
image_3780,292,421,48,332
image_3781,42,406,34,419
image_3782,0,450,129,374
image_3783,36,450,53,308
image_3784,242,393,68,332
image_3785,122,286,75,294
image_3786,63,291,71,463
image_3787,0,375,61,374
image_3788,11,203,39,288
image_3789,98,268,126,413
image_3790,74,448,82,301
image_3791,66,347,70,460
image_3792,0,347,2,498
image_3793,0,359,25,374
image_3794,67,293,17,281
image_3795,151,368,58,300
image_3796,26,283,77,443
image_3797,202,499,60,374
image_3798,131,190,51,223
image_3799,7,352,72,496
image_3800,54,367,22,374
image_3801,213,442,93,319
image_3802,182,359,86,362
image_3803,105,395,49,281
image_3804,51,392,29,287
image_3805,151,252,228,350
image_3806,150,341,61,374
image_3807,0,347,17,475
image_3808,190,332,85,448
image_3809,139,410,62,374
image_3810,331,414,62,308
image_3811,67,333,57,496
image_3812,134,389,50,313
image_3813,40,362,36,438
image_3814,198,373,0,498
image_3815,78,393,81,273
image_3816,15,679,46,771
image_3817,224,421,109,287
image_3818,81,443,68,254
image_3819,188,457,185,339
image_3820,8,203,3,178
image_3821,116,275,16,337
image_3822,166,351,42,344
image_3823,52,435,42,355
image_3824,95,180,145,281
image_3825,217,480,120,287
image_3826,47,420,60,296
image_3827,169,400,105,276
image_3828,68,356,213,443
image_3829,59,383,63,226
image_3830,19,389,20,371
image_3831,32,468,4,310
image_3832,227,332,5,262
image_3833,0,268,18,265
image_3834,44,499,0,347
image_3835,131,223,85,149
image_3836,85,395,84,374
image_3837,85,496,34,250
image_3838,82,251,28,498
image_3839,188,349,83,251
image_3840,296,482,152,252
image_3841,136,414,122,478
image_3842,25,322,37,383
image_3843,202,388,111,321
image_3844,17,387,61,235
image_3845,36,344,77,331
image_3846,58,296,67,473
image_3847,0,359,0,269
image_3848,0,231,20,498
image_3849,293,484,150,275
image_3850,164,446,66,352
image_3851,0,323,10,498
image_3852,138,367,151,334
image_3853,125,499,74,374
image_3854,55,446,44,275
image_3855,116,452,73,315
image_3856,245,429,150,320
image_3857,67,454,26,384
image_3858,0,408,60,406
image_3859,121,421,96,244
image_3860,92,163,46,278
image_3861,188,499,50,380
image_3862,278,383,132,328
image_3863,22,241,86,498
image_3864,270,488,205,315
image_3865,46,425,44,356
image_3866,39,346,0,292
image_3867,143,307,0,331
image_3868,138,431,78,240
image_3869,270,439,110,276
image_3870,1,261,83,368
image_3871,85,319,52,199
image_3872,100,258,203,443
image_3873,63,272,42,298
image_3874,242,479,82,299
image_3875,33,472,18,294
image_3876,150,457,43,369
image_3877,81,268,253,470
image_3878,244,368,211,418
image_3879,40,402,147,334
image_3880,272,403,142,253
image_3881,114,430,47,303
image_3882,115,387,23,383
image_3883,157,420,126,397
image_3884,4,480,90,326
image_3885,0,257,3,350
image_3886,56,261,57,392
image_3887,72,298,37,332
image_3888,94,397,82,342
image_3889,162,487,34,363
image_3890,102,218,153,326
image_3891,99,309,76,256
image_3892,300,366,122,245
image_3893,113,431,26,386
image_3894,110,341,60,345
image_3895,6,210,17,279
image_3896,1,352,24,305
image_3897,90,350,177,307
image_3898,0,341,80,332
image_3899,157,497,26,369
image_3900,118,499,110,371
image_3901,279,464,36,179
image_3902,1,290,66,355
image_3903,29,496,22,265
image_3904,50,314,51,294
image_3905,162,240,253,473
image_3906,229,452,122,347
image_3907,17,428,50,490
image_3908,124,398,121,269
image_3909,133,473,44,336
image_3910,31,420,0,279
image_3911,34,345,42,274
image_3912,42,481,10,284
image_3913,339,499,144,374
image_3914,234,379,165,437
image_3915,49,304,82,312
image_3916,181,340,7,165
image_3917,2,451,94,332
image_3918,120,398,21,256
image_3919,151,453,94,245
image_3920,81,474,77,329
image_3921,271,422,42,271
image_3922,112,198,129,297
image_3923,43,303,69,339
image_3924,7,250,126,428
image_3925,282,392,158,236
image_3926,112,370,74,258
image_3927,0,499,10,371
image_3928,155,326,124,340
image_3929,241,335,298,416
image_3930,222,340,43,290
image_3931,8,300,72,361
image_3932,190,280,148,291
image_3933,13,312,68,476
image_3934,20,349,25,498
image_3935,310,447,91,235
image_3936,215,348,154,306
image_3937,33,137,93,356
image_3938,158,499,38,374
image_3939,112,333,147,437
image_3940,93,167,122,290
image_3941,9,235,3,210
image_3942,14,454,0,435
image_3943,0,451,16,350
image_3944,80,416,82,380
image_3945,83,175,72,365
image_3946,141,417,187,487
image_3947,36,462,40,345
image_3948,57,222,105,165
image_3949,17,470,14,330
image_3950,21,349,55,477
image_3951,37,215,39,161
image_3952,125,415,80,303
image_3953,98,363,83,374
image_3954,90,337,88,292
image_3955,63,373,2,498
image_3956,110,373,76,498
image_3957,62,354,94,295
image_3958,0,297,33,280
image_3959,71,431,74,300
image_3960,41,351,240,452
image_3961,85,378,33,297
image_3962,0,285,0,497
image_3963,16,499,28,344
image_3964,28,328,4,236
image_3965,2,300,7,152
image_3966,151,397,89,295
image_3967,100,718,45,485
image_3968,94,338,123,333
image_3969,220,386,105,242
image_3970,26,582,174,746
image_3971,151,433,75,287
image_3972,33,195,17,155
image_3973,168,434,77,337
image_3974,92,250,48,328
image_3975,66,441,99,348
image_3976,335,427,110,236
image_3977,74,443,50,309
image_3978,37,463,53,388
image_3979,291,477,129,271
image_3980,54,444,80,333
image_3981,55,305,68,341
image_3982,14,486,35,332
image_3983,18,486,35,228
image_3984,26,442,102,320
image_3985,97,453,85,374
image_3986,9,344,83,417
image_3987,58,298,52,200
image_3988,0,325,117,498
image_3989,0,282,15,172
image_3990,11,269,3,365
image_3991,49,433,37,345
image_3992,48,313,58,482
image_3993,22,329,42,498
image_3994,195,301,63,308
image_3995,101,209,18,242
image_3996,139,281,101,184
image_3997,113,511,64,378
image_3998,25,402,54,299
image_3999,57,499,0,316
image_4000,2,349,11,354
image_4001,4,298,7,240
image_4002,27,296,155,416
image_4003,214,495,59,371
image_4004,95,410,49,383
image_4005,41,499,9,327
image_4006,94,499,6,332
image_4007,53,358,186,387
image_4008,9,874,39,487
image_4009,176,523,50,536
image_4010,51,508,12,471
image_4011,53,322,41,334
image_4012,33,343,36,332
image_4013,114,549,7,404
image_4014,149,470,114,291
image_4015,206,372,92,267
image_4016,93,566,19,249
image_4017,13,237,16,231
image_4018,46,266,190,365
image_4019,15,298,57,448
image_4020,177,361,117,277
image_4021,72,449,72,309
image_4022,162,379,90,290
image_4023,27,407,54,318
image_4024,38,477,19,318
image_4025,30,185,15,462
image_4026,147,294,166,483
image_4027,0,382,5,373
image_4028,83,240,120,374
image_4029,97,390,2,374
image_4030,132,256,62,452
image_4031,87,381,18,365
image_4032,18,251,61,473
image_4033,63,292,200,434
image_4034,9,252,9,296
image_4035,228,313,84,289
image_4036,18,278,12,409
image_4037,171,279,0,308
image_4038,45,376,29,333
image_4039,21,275,38,597
image_4040,0,319,86,471
image_4041,126,351,16,299
image_4042,143,377,66,307
image_4043,43,331,30,486
image_4044,125,499,7,332
image_4045,55,262,36,495
image_4046,1,372,26,498
image_4047,8,285,12,263
image_4048,113,349,40,498
image_4049,17,189,27,198
image_4050,151,588,120,487
image_4051,111,382,29,330
image_4052,153,399,7,332
image_4053,22,437,39,449
image_4054,168,408,5,316
image_4055,53,245,205,373
image_4056,117,487,6,387
image_4057,75,268,34,232
image_4058,0,273,3,445
image_4059,22,290,17,286
image_4060,47,250,143,450
image_4061,13,397,91,339
image_4062,114,254,10,183
image_4063,9,516,129,298
image_4064,38,331,21,498
image_4065,2,394,92,374
image_4066,0,661,50,529
image_4067,14,294,7,290
image_4068,134,374,70,329
image_4069,49,441,24,402
image_4070,10,218,20,393
image_4071,21,249,1,285
image_4072,203,464,149,404
image_4073,34,387,28,291
image_4074,20,297,17,278
image_4075,82,261,35,246
image_4076,92,262,129,293
image_4077,23,483,28,317
image_4078,219,393,44,322
image_4079,112,444,0,423
image_4080,19,356,54,231
image_4081,73,321,66,332
image_4082,104,496,16,463
image_4083,9,357,5,299
image_4084,253,341,40,189
image_4085,126,301,86,300
image_4086,86,383,106,361
image_4087,33,474,27,291
image_4088,55,244,28,430
image_4089,0,322,22,331
image_4090,116,381,30,371
image_4091,37,270,8,295
image_4092,42,525,31,533
image_4093,60,506,56,491
image_4094,96,393,65,374
image_4095,0,438,18,301
image_4096,196,352,33,301
image_4097,125,481,52,341
image_4098,98,552,13,680
image_4099,8,213,11,223
image_4100,135,499,44,294
image_4101,25,338,100,326
image_4102,112,239,101,256
image_4103,8,287,9,273
image_4104,177,499,19,332
image_4105,121,398,1,374
image_4106,30,469,30,323
image_4107,1,354,0,372
image_4108,75,547,86,414
image_4109,89,474,4,577
image_4110,53,441,31,286
image_4111,31,284,20,275
image_4112,168,306,35,327
image_4113,17,241,26,233
image_4114,107,194,123,377
image_4115,58,252,51,452
image_4116,0,429,4,324
image_4117,199,498,0,341
image_4118,75,271,72,364
image_4119,1,275,83,498
image_4120,120,455,16,332
image_4121,1,290,68,498
image_4122,65,284,187,398
image_4123,8,281,5,269
image_4124,124,358,106,478
image_4125,100,384,32,473
image_4126,3,484,34,424
image_4127,110,378,110,401
image_4128,38,207,20,261
image_4129,132,272,114,248
image_4130,144,469,9,455
image_4131,12,219,25,183
image_4132,148,356,48,302
image_4133,80,270,60,420
image_4134,7,167,92,248
image_4135,30,226,72,257
image_4136,1,157,172,387
image_4137,53,337,33,261
image_4138,37,347,66,454
image_4139,17,405,21,372
image_4140,113,377,28,335
image_4141,87,362,80,323
image_4142,15,175,262,446
image_4143,1,288,147,373
image_4144,97,373,126,412
image_4145,33,229,7,201
image_4146,139,298,65,247
image_4147,206,420,2,440
image_4148,32,293,14,332
image_4149,3,206,0,498
image_4150,6,303,191,498
image_4151,54,293,18,303
image_4152,60,499,102,373
image_4153,15,375,140,261
image_4154,65,434,35,410
image_4155,9,278,12,236
image_4156,1,384,57,292
image_4157,97,204,120,275
image_4158,109,499,36,374
image_4159,11,361,1,203
image_4160,10,143,13,228
image_4161,64,498,20,373
image_4162,4,464,21,326
image_4163,155,309,69,332
image_4164,155,315,79,374
image_4165,3,195,188,498
image_4166,12,171,2,255
image_4167,1,393,31,311
image_4168,257,364,67,193
image_4169,65,342,13,470
image_4170,31,399,54,276
image_4171,58,361,125,382
image_4172,62,161,192,428
image_4173,45,348,39,307
image_4174,42,305,4,291
image_4175,101,433,117,387
image_4176,66,292,111,307
image_4177,36,248,33,477
image_4178,13,294,17,365
image_4179,0,267,12,424
image_4180,3,264,10,367
image_4181,97,281,125,296
image_4182,64,249,28,228
image_4183,52,389,114,745
image_4184,135,394,57,241
image_4185,110,193,41,236
image_4186,21,264,1,232
image_4187,42,548,3,514
image_4188,187,306,52,302
image_4189,101,396,152,318
image_4190,127,332,2,311
image_4191,61,363,37,339
image_4192,59,470,0,386
image_4193,23,432,83,328
image_4194,28,239,7,274
image_4195,54,290,22,231
image_4196,6,388,18,292
image_4197,77,435,96,313
image_4198,0,270,1,462
image_4199,108,449,74,365
image_4200,78,363,4,333
image_4201,31,302,47,370
image_4202,94,499,0,332
image_4203,93,486,31,429
image_4204,62,354,0,326
image_4205,41,473,51,302
image_4206,23,302,78,458
image_4207,86,285,32,255
image_4208,190,386,13,321
image_4209,58,423,27,262
image_4210,49,258,4,286
image_4211,5,385,115,316
image_4212,48,333,78,497
image_4213,191,482,138,332
image_4214,133,180,147,215
image_4215,41,312,126,395
image_4216,52,437,1,350
image_4217,37,178,191,418
image_4218,28,195,2,191
image_4219,103,377,32,239
image_4220,0,300,68,332
image_4221,3,232,23,207
image_4222,73,373,33,498
image_4223,106,467,37,265
image_4224,201,499,58,374
image_4225,241,499,108,374
image_4226,138,422,17,374
image_4227,23,371,19,364
image_4228,0,499,0,374
image_4229,102,412,101,498
image_4230,84,181,91,297
image_4231,10,254,12,233
image_4232,101,479,0,374
image_4233,0,499,1,374
image_4234,79,385,84,303
image_4235,72,483,97,374
image_4236,85,276,36,366
image_4237,11,345,62,484
image_4238,27,460,61,335
image_4239,117,234,76,205
image_4240,79,452,59,285
image_4241,96,384,50,308
image_4242,49,322,83,315
image_4243,32,465,26,439
image_4244,11,499,10,374
image_4245,119,204,82,296
image_4246,72,212,172,290
image_4247,242,464,66,374
image_4248,43,334,0,310
image_4249,62,499,15,318
image_4250,0,371,55,332
image_4251,149,344,40,374
image_4252,221,369,49,329
image_4253,132,296,91,332
image_4254,5,293,31,498
image_4255,61,439,72,255
image_4256,103,369,37,235
image_4257,76,483,112,308
image_4258,0,282,1,226
image_4259,198,498,88,296
image_4260,108,395,88,317
image_4261,34,351,41,273
image_4262,102,251,118,421
image_4263,10,276,0,251
image_4264,36,373,71,412
image_4265,59,320,9,254
image_4266,7,498,37,374
image_4267,50,483,32,293
image_4268,37,293,0,238
image_4269,160,340,120,243
image_4270,0,493,107,323
image_4271,48,347,40,278
image_4272,36,376,55,303
image_4273,122,304,195,374
image_4274,163,333,0,287
image_4275,36,329,22,292
image_4276,57,398,2,498
image_4277,154,281,68,309
image_4278,79,306,48,286
image_4279,180,348,35,322
